country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Australia,Oceania,1952,69.12,8691212,10039.59564,AUS,36
Australia,Oceania,1957,70.33,9712569,10949.64959,AUS,36
Australia,Oceania,1962,70.93,10794968,12217.22686,AUS,36
Australia,Oceania,1967,71.1,11872264,14526.12465,AUS,36
Australia,Oceania,1972,71.93,13177000,16788.62948,AUS,36
Australia,Oceania,1977,73.49,14074100,18334.19751,AUS,36
Australia,Oceania,1982,74.74,15184200,19477.00928,AUS,36
Australia,Oceania,1987,76.32,16257249,21888.88903,AUS,36
Australia,Oceania,1992,77.56,17481977,23424.76683,AUS,36
Australia,Oceania,1997,78.83,18565243,26997.93657,AUS,36
Australia,Oceania,2002,80.37,19546792,30687.75473,AUS,36
Australia,Oceania,2007,81.235,20434176,34435.367439999995,AUS,36
Austria,Europe,1952,66.8,6927772,6137.076492,AUT,40
Austria,Europe,1957,67.48,6965860,8842.59803,AUT,40
Austria,Europe,1962,69.54,7129864,10750.72111,AUT,40
Austria,Europe,1967,70.14,7376998,12834.6024,AUT,40
Austria,Europe,1972,70.63,7544201,16661.6256,AUT,40
Austria,Europe,1977,72.17,7568430,19749.4223,AUT,40
Austria,Europe,1982,73.18,7574613,21597.08362,AUT,40
Austria,Europe,1987,74.94,7578903,23687.82607,AUT,40
Austria,Europe,1992,76.04,7914969,27042.01868,AUT,40
Austria,Europe,1997,77.51,8069876,29095.920660000003,AUT,40
Austria,Europe,2002,78.98,8148312,32417.60769,AUT,40
Austria,Europe,2007,79.829,8199783,36126.4927,AUT,40
Belgium,Europe,1952,68.0,8730405,8343.105126999999,BEL,56
Belgium,Europe,1957,69.24,8989111,9714.960623,BEL,56
Belgium,Europe,1962,70.25,9218400,10991.20676,BEL,56
Belgium,Europe,1967,70.94,9556500,13149.04119,BEL,56
Belgium,Europe,1972,71.44,9709100,16672.14356,BEL,56
Belgium,Europe,1977,72.8,9821800,19117.97448,BEL,56
Belgium,Europe,1982,73.93,9856303,20979.84589,BEL,56
Belgium,Europe,1987,75.35,9870200,22525.56308,BEL,56
Belgium,Europe,1992,76.46,10045622,25575.57069,BEL,56
Belgium,Europe,1997,77.53,10199787,27561.19663,BEL,56
Belgium,Europe,2002,78.32,10311970,30485.88375,BEL,56
Belgium,Europe,2007,79.441,10392226,33692.60508,BEL,56
