country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num,gdp_base,pop_base,life_base
Australia,Oceania,1952,69.12,8691212,10039.59564,AUS,36,100.0,100.0,100.0
Australia,Oceania,1957,70.33,9712569,10949.64959,AUS,36,109.06464744829107,111.75160610510939,101.7505787037037
Australia,Oceania,1962,70.93,10794968,12217.22686,AUS,36,121.6904275638735,124.20555383990173,102.61863425925925
Australia,Oceania,1967,71.1,11872264,14526.12465,AUS,36,144.688343742896,136.6007870939059,102.86458333333333
Australia,Oceania,1972,71.93,13177000,16788.62948,AUS,36,167.22416003599125,151.6129165874679,104.0653935185185
Australia,Oceania,1977,73.49,14074100,18334.19751,AUS,36,182.6188839414254,161.934837166554,106.32233796296295
Australia,Oceania,1982,74.74,15184200,19477.00928,AUS,36,194.00192974305887,174.70750914832132,108.13078703703702
Australia,Oceania,1987,76.32,16257249,21888.88903,AUS,36,218.02560396745224,187.05387695064854,110.41666666666666
Australia,Oceania,1992,77.56,17481977,23424.76683,AUS,36,233.32380775048827,201.1454443868128,112.21064814814814
Australia,Oceania,1997,78.83,18565243,26997.93657,AUS,36,268.9145812051849,213.6093677153428,114.04803240740739
Australia,Oceania,2002,80.37,19546792,30687.75473,AUS,36,305.66723830721935,224.90294794327878,116.27604166666667
Australia,Oceania,2007,81.235,20434176,34435.367439999995,AUS,36,342.99556152243593,235.1130774396022,117.52748842592591
Austria,Europe,1952,66.8,6927772,6137.076492,AUT,40,100.0,100.0,100.0
Austria,Europe,1957,67.48,6965860,8842.59803,AUT,40,144.08485932229763,100.54978714657467,101.0179640718563
Austria,Europe,1962,69.54,7129864,10750.72111,AUT,40,175.17658650685107,102.91712833505491,104.10179640718565
Austria,Europe,1967,70.14,7376998,12834.6024,AUT,40,209.13218886436522,106.4844224088206,105.0
Austria,Europe,1972,70.63,7544201,16661.6256,AUT,40,271.4912486705893,108.89794005922828,105.73353293413173
Austria,Europe,1977,72.17,7568430,19749.4223,AUT,40,321.8050536887458,109.24767731963465,108.03892215568862
Austria,Europe,1982,73.18,7574613,21597.08362,AUT,40,351.9115925661498,109.33692679262539,109.55089820359282
Austria,Europe,1987,74.94,7578903,23687.82607,AUT,40,385.9789934324318,109.39885146335648,112.18562874251496
Austria,Europe,1992,76.04,7914969,27042.01868,AUT,40,440.633560869751,114.24984829177403,113.83233532934133
Austria,Europe,1997,77.51,8069876,29095.920660000003,AUT,40,474.1006682567515,116.48587742206296,116.03293413173654
Austria,Europe,2002,78.98,8148312,32417.60769,AUT,40,528.2255766611032,117.61807403592381,118.23353293413174
Austria,Europe,2007,79.829,8199783,36126.4927,AUT,40,588.6596451436245,118.36104017280013,119.50449101796407
Belgium,Europe,1952,68.0,8730405,8343.105126999999,BEL,56,100.0,100.0,100.0
Belgium,Europe,1957,69.24,8989111,9714.960623,BEL,56,116.44298465759944,102.9632760450403,101.8235294117647
Belgium,Europe,1962,70.25,9218400,10991.20676,BEL,56,131.74000078735915,105.5896032314652,103.30882352941177
Belgium,Europe,1967,70.94,9556500,13149.04119,BEL,56,157.60368579615528,109.46227580507433,104.32352941176471
